time,analytic,euler,heun
0,250,250,250
5,161.469,142.857,168.367
10,107.773,86.7347,116.352
15,75.2043,57.3372,83.2084
20,55.4504,41.9385,62.0897
25,43.4691,33.8726,48.6331
30,36.2021,29.6475,40.0587
35,31.7944,27.4344,34.5953
40,29.121,26.2752,31.114
45,27.4995,25.6679,28.8958
50,26.516,25.3499,27.4823
55,25.9195,25.1833,26.5817
60,25.5577,25.096,26.0078
65,25.3383,25.0503,25.6422
70,25.2052,25.0263,25.4092
75,25.1244,25.0138,25.2607
80,25.0755,25.0072,25.1661
85,25.0458,25.0038,25.1059
90,25.0278,25.002,25.0675
95,25.0168,25.001,25.043
100,25.0102,25.0005,25.0274
