time,analytic,euler,heun
0,150,150,150
0.1,148.756,148.75,148.756
0.2,147.525,147.512,147.525
0.3,146.306,146.287,146.306
0.4,145.099,145.075,145.099
0.5,143.904,143.874,143.904
0.6,142.721,142.685,142.721
0.7,141.549,141.508,141.549
0.8,140.39,140.343,140.39
0.9,139.241,139.19,139.242
1,138.105,138.048,138.105
1.1,136.979,136.917,136.979
1.2,135.865,135.798,135.865
1.3,134.762,134.69,134.762
1.4,133.67,133.593,133.67
1.5,132.588,132.507,132.589
1.6,131.518,131.432,131.518
1.7,130.458,130.368,130.458
1.8,129.409,129.314,129.409
1.9,128.37,128.271,128.37
2,127.341,127.238,127.342
2.1,126.323,126.216,126.323
2.2,125.315,125.204,125.315
2.3,124.317,124.202,124.317
2.4,123.328,123.21,123.329
2.5,122.35,122.228,122.351
2.6,121.381,121.255,121.382
2.7,120.422,120.293,120.423
2.8,119.473,119.34,119.473
2.9,118.533,118.397,118.533
3,117.602,117.463,117.603
3.1,116.681,116.538,116.681
3.2,115.769,115.623,115.769
3.3,114.865,114.716,114.866
3.4,113.971,113.819,113.972
3.5,113.086,112.931,113.087
3.6,112.21,112.052,112.21
3.7,111.342,111.181,111.342
3.8,110.483,110.319,110.483
3.9,109.632,109.466,109.633
4,108.79,108.621,108.791
4.1,107.956,107.785,107.957
4.2,107.131,106.957,107.131
4.3,106.314,106.138,106.314
4.4,105.505,105.326,105.505
4.5,104.704,104.523,104.704
4.6,103.91,103.728,103.911
4.7,103.125,102.941,103.126
4.8,102.348,102.161,102.349
4.9,101.578,101.39,101.579
5,100.816,100.626,100.817
5.1,100.062,99.8695,100.063
5.2,99.3151,99.1208,99.3157
5.3,98.5756,98.3796,98.5763
5.4,97.8435,97.6458,97.8442
5.5,97.1187,96.9193,97.1194
5.6,96.4011,96.2002,96.4018
5.7,95.6907,95.4881,95.6914
5.8,94.9873,94.7833,94.988
5.9,94.2909,94.0854,94.2916
6,93.6015,93.3946,93.6021
6.1,92.9189,92.7106,92.9196
6.2,92.2431,92.0335,92.2438
6.3,91.574,91.3632,91.5747
6.4,90.9116,90.6996,90.9123
6.5,90.2557,90.0426,90.2564
