analytic,cls_EulerSolver,cls_HeunSolver
0,150,150,150
0.1,148.756,148.751,148.757
0.2,147.525,147.515,147.527
0.3,146.306,146.291,146.309
0.4,145.099,145.079,145.104
0.5,143.904,143.88,143.91
0.6,142.721,142.692,142.728
0.7,141.549,141.516,141.558
0.8,140.39,140.352,140.399
0.9,139.241,139.2,139.252
1,138.105,138.059,138.116
1.1,136.979,136.93,136.992
1.2,135.865,135.812,135.879
1.3,134.762,134.705,134.776
1.4,133.67,133.609,133.685
1.5,132.588,132.524,132.605
1.6,131.518,131.449,131.535
1.7,130.458,130.386,130.476
1.8,129.409,129.333,129.428
1.9,128.37,128.291,128.39
2,127.341,127.259,127.362
2.1,126.323,126.237,126.345
2.2,125.315,125.226,125.337
2.3,124.317,124.225,124.34
2.4,123.328,123.234,123.352
2.5,122.35,122.252,122.375
2.6,121.381,121.281,121.407
2.7,120.422,120.319,120.449
2.8,119.473,119.367,119.5
2.9,118.533,118.424,118.561
3,117.602,117.491,117.63
3.1,116.681,116.567,116.71
3.2,115.769,115.652,115.798
3.3,114.865,114.746,114.896
3.4,113.971,113.85,114.002
3.5,113.086,112.962,113.117
3.6,112.21,112.083,112.241
3.7,111.342,111.213,111.374
3.8,110.483,110.352,110.516
3.9,109.632,109.499,109.666
4,108.79,108.655,108.824
4.1,107.956,107.82,107.991
4.2,107.131,106.992,107.166
4.3,106.314,106.173,106.349
4.4,105.505,105.362,105.541
4.5,104.704,104.559,104.74
4.6,103.91,103.765,103.947
4.7,103.125,102.978,103.163
4.8,102.348,102.199,102.386
4.9,101.578,101.427,101.616
5,100.816,100.664,100.855
5.1,100.062,99.908,100.101
5.2,99.3151,99.1597,99.3543
5.3,98.5756,98.4189,98.6152
5.4,97.8435,97.6854,97.8835
5.5,97.1187,96.9593,97.159
5.6,96.4011,96.2404,96.4418
5.7,95.6907,95.5287,95.7316
5.8,94.9873,94.8241,95.0285
5.9,94.2909,94.1266,94.3324
6,93.6015,93.436,93.6433
6.1,92.9189,92.7523,92.961
6.2,92.2431,92.0755,92.2854
6.3,91.574,91.4054,91.6166
6.4,90.9116,90.742,90.9544
6.5,90.2557,90.0852,90.2988
6.6,89.6064,89.435,89.6497
6.7,88.9636,88.7913,89.0071
6.8,88.3271,88.1541,88.3709
6.9,87.697,87.5231,87.741
7,87.0732,86.8985,87.1173
7.1,86.4555,86.2802,86.4999
7.2,85.844,85.668,85.8885
7.3,85.2386,85.0619,85.2833
7.4,84.6392,84.4619,84.6841
7.5,84.0458,83.8679,84.0908
7.6,83.4583,83.2798,83.5034
7.7,82.8766,82.6976,82.9219
7.8,82.3008,82.1212,82.3462
7.9,81.7306,81.5505,81.7761
8,81.1661,80.9856,81.2118
8.1,80.6073,80.4263,80.653
8.2,80.054,79.8726,80.0998
8.3,79.5062,79.3244,79.5521
8.4,78.9638,78.7817,79.0099
8.5,78.4269,78.2444,78.473
8.6,77.8953,77.7125,77.9415
8.7,77.3689,77.1859,77.4152
8.8,76.8479,76.6646,76.8942
8.9,76.332,76.1484,76.3784
9,75.8212,75.6375,75.8677
9.1,75.3155,75.1316,75.3621
9.2,74.8149,74.6308,74.8615
9.3,74.3192,74.135,74.3658
9.4,73.8285,73.6441,73.8751
9.5,73.3426,73.1582,73.3893
9.6,72.8616,72.6771,72.9083
9.7,72.3854,72.2008,72.4321
9.8,71.9139,71.7292,71.9606
9.9,71.4471,71.2624,71.4938
